name,url,price,country,region,origin_category,total_score,cupper_correction,cupping_dry_fragrance,cupping_wet_aroma,cupping_brightness,cupping_flavor,cupping_body,cupping_finish,cupping_sweetness,cupping_clean_cup,cupping_complexity,cupping_uniformity,flavor_floral,flavor_honey,flavor_sugars,flavor_caramel,flavor_fruits,flavor_citrus,flavor_berry,flavor_cocoa,flavor_nuts,flavor_rustic,flavor_spice,flavor_flavor_body,process_method,cultivar,cultivar_detail,farm_gate,processing,drying_method,arrival_date,lot_size,bag_size,packaging,grade,appearance,roast_recommendations,type,recommended_for_espresso,short_description,full_cupping_notes,farm_notes,watchlist_match,watchlist_farm,watchlist_tier,watchlist_credential_type,watchlist_credential_detail,watchlist_notes,watchlist_url
Kenya Nyeri Gichathaini Peaberry,https://www.sweetmarias.com/kenya-nyeri-gichathaini-peaberry-8381.html,$9.65,Kenya,"Karatina, Nyeri",Africa,91.3,1,9.1,9.3,9.3,9.2,8.5,8.7,9,8.5,9.2,9.5,0,0,4,0,3,2.5,3,2,0,1,4,3.5,Wet Process Kenya Type,Bourbon Types,"SL-28, SL-34, Ruiru 11",Yes,Wet Process Kenya Type,Raised Bed Sun-Dried,June 2025 Arrival,9,60 KG,GrainPro Liner,Peaberry,".2 d/300gr, 15 Peaberry Screen",City to Full City,Farm Gate,,"Pleasantly fruited Kenya that yields complex aromatic flavors and a bright top end. Hints of grape, black plum, candied ginger, raw cane sugar, Chai spiced tea, and tangy zested lemon. City to Full City.","There's a compelling scent of fruit and spiced sugars in the dry grounds, dark grape and dried date, with a note of red punch. Juicy fruits accent the steam of the wet aroma as well, along with strong spice notes of cardamom and whole clove, and a hint of apricot tea. The cup follows a similar theme, with a clean sweet cane sugar base note, accents of fruits that bring about bright, mouth-refreshing profiles, like red grape, cranberry juice, and black plum. The fruit notes are well integrated, offering subtle contrast to the underlying bittersweetness. City-City+ roasts have an impressive cup aroma, a spiced nose that brings out complex aromatic hints of candied ginger, clove gum, and Chai spiced tea. The coffee has a tangy top end too, and pulls at your tongue, like zested lemon. The finish isn't perfect, with a slight dryness in the long aftertaste that comes off a bit like tannic tea, or woody whole spice.","This coffee is from the Gichathaini wet mill in Nyeri. It's one of three washing stations under the Gikanga Farmer's Cooperative Society umbrella, the other two being Kangocho and Ndaroini (the name ""Gikanda"" is actually made up of the first letters of the three factory names: GIchathaini + KAngocho + NDAroini). They have been an outstanding cooperative for years, and we used to see their coffee with some regularity, but the group we work with in Nyeri hasn't had any offers to show us for a few years. We actually had the opportunity to visit a few years back and hope to again soon. Like most of the region, the farmer members of Gichathaini work very small plots of land. Many have less than one hectare of land, and the preferred cultivars are SL-28, and SL-34 bourbon selections, known for good cup quality, especially when growing conditions are favorable. This region has very good altitude, starting at 1900 meters above sea level, and topping out around 2000 meters. This is the Peaberry outturn, a natural occurance that affects about 5% of cherries, where only one of two coffee embryos germinates, causing it to take on a round shape like the cherry itself. It's important to point out that coffee comes in all different shapes and sizes, and that the different grades like Peaberry, AA, and AB are all separated from a single lot of coffee. There can be flavor differences from one grade to the next (especially when you go into the lower grades), but not always for the top quality grades. We found this Peaberry to be on par with the AA lot we recently sold out of, albeit with a little more fruit in the cup.",,,,,,,
Kenya Nyeri Kamoini AB,https://www.sweetmarias.com/kenya-nyeri-kamoini-ab-8362.html,$8.95,Kenya,"Othaya, Nyeri",Africa,90.9,1.5,8.9,9.2,8.9,9,8.8,8.9,9,8.5,9.2,9,0,0,3.5,2.5,3,2.5,3,3.5,0,0,3.5,4,Wet Process Kenya Type,Bourbon Types,"SL-28, SL-34",Yes,Wet Process (Washed),Raised Bed Sun-Dried,July 2025 Arrival,39,60 KG,GrainPro Liner,AB,".4 d/300gr, 15-17 Screen",City to Full City+,Farm Gate,Yes,"Versatile Kenya. Light roasts have a bright, tea-like quality with plump fruit accents and spiced aroma, traded for dark toned chocolate and sticky dried fruits at darker levels. City to Full City+. Good for espresso.","Kamoini AB showed juicy sweetness in the cup at a range of roast levels, and is a Kenya worth trying as espresso when roasted to Full City-Full City+. Our City roast boasted convincing sweetness in the dry fragrance, caramelized sugars, spiced ginger cookie, and cola The wet grounds let off fragrant caramelized sugar notes in the steam, with hints mulled juices, and citrus. Kamoini is underpinned by sweet notes of burnt sugar and molasses, with juicy fruits and fragrant spices tied in. The sweet profile is accented by fruit flavor profiles of plum tea, grape, dried cranberry and date, and ushers in complex spice notes of cardamom and clove in the aftertaste. We found that sweetness holds up to roast quite well. At Full City, chocolate roast tones come off well-balanced, like semi-sweet chocolate, layered with sticky dried fruits and berries. Espresso shots showed distilled dark chocolates and black fruits, roasted malt, and chocolate stout beer. It's really quite nice, but acidity should be noted. The liquor is thick and syrupy, and there's a tangy aspect that brought to mind both citrus and extra dark chocolate.","Kamoini is one of several coffees we picked up from Othaya Farmer's Cooperative Society (FCS). Othaya got its start back in the 1950s and currently have 18 coffee factories (wet mills) under their umbrella. Kamoini Factory sits at 1825 meters above sea level, right along the Ichamama River, which is fed from the Karima forest above. ""Factories"" are essentially small washing stations aligned with a particular ""society"" in Kenya, what we would call a ""cooperative"". Farmers typically hand sort the coffee cherry before submitting it for processing, removing coffee that's either not ripe, or too ripe, and can cause a defect in the cup. Small things like this make a huge difference in the resulting coffee. Check out our processing video taken during our 2024 travel that illustrates some of the unique ways in which Kenyan coffee is processed. This is an ""AB"" separation, which denotes the size of the beans. All coffee in Kenya is sorted by size using large industrial screening machines. There's a grading name attached to each size range, like ""AA"" for the largest beans, or in this case, ""AB"", which means that the beans fall between 15/64"" and 17/64"". Honestly, this doesn't always equate to a quality difference in the cup, but it does affect the price. (AA's typically command the highest prices).",,,,,,,
Kenya Nyeri Karindundu AB,https://www.sweetmarias.com/kenya-nyeri-karindundu-ab-8375.html,$9.75,Kenya,"Nyeri District, Karatina Division",Africa,90.5,1.5,8.9,9,9.3,9,8.2,9.2,8.7,8.5,9.2,9,0,3,3.5,1,3,3,1,1,0,0,3,3,Wet Process (Washed),Bourbon Types,"SL-28, SL-34",Yes,Wet Process Kenya Type,Raised Bed Sun-Dried,June 2025 Arrival,20,60 KG,GrainPro Liner,AB,".2 d/300gr, 15-17 Screen",City to City+,Farm Gate,,"Light roasts draw out snappy acidity, and mouth-cleansing citrus notes like orange and grapefruit, along with dried lemongrass, black tea, toasted sugar, subtle herbal and spice hints in the aftertaste. City to City+.","The dry fragrance of Karindundu is characterized by a smell of dried fruits and spice accents, raisin, black fig, and the aromatic woody aspects of whole cinnamon sticks. It's a sweet smelling coffee and honey-sweetened chamomile comes up in the steam after adding of hot water, along with golden raisin, and citrus notes. City to City+ roasts draw out snappy acidity, yielding a mouth-cleansing cup. Lively citrus notes lead the charge and contribute bright highlights to modest cup sweetness. The cup flavors are focused, and don't shift around a lot as the coffee cools. Orange, and grapefruit notes tease out tangy sweetness, and a dried lemongrass note has more of an aromatic, and slight earth-toned dimension. Black tea and honey notes mingle up front, fading to toasted sugar, baking spice, and slight herbal hints in the aftertaste. Karindundu is light, bright, and quite nice!","Karindundu factory is situated just outside of Karatina town, in the Nyeri district. Like many other Kenya coffees we carry, it is a ""factory"" that is part of a much larger cooperative society (including other factories we carry like Gatomboya, and Gaturiri). Several hundred small farmers in the surrounding area are members, delivering coffee cherry to the Karindundu wet mill where their coffee is then processed onsite. So much effort is put into preparation, which is apparent when you cup these coffees. It also helps that the varietal is the much coveted SL-28 and SL-34 strains. AB refers to the bean size, referring to a bean size range of 15/64""-16/64"" that is acheived using metal seive screens. It doesn't always line up with cup quality, though Peaberry, AB, and AAs are typically the top separations, and command the highest prices.",,,,,,,
Kenya Nyeri Karuthi AA,https://www.sweetmarias.com/kenya-nyeri-karuthi-aa-8363.html,$9.65,Kenya,"Karuthi, Nyeri",Africa,91.7,.5,9.2,9.3,9.5,9.2,8.5,9.2,9,9,9.3,9,0,0,4,0,3,4,0,2.5,0,0,2.5,3.5,Wet Process Kenya Type,Caturra Types,"SL-28, SL-34, Ruiru 11",Yes,Wet Process Kenya Type,Raised Bed Sun Dried,July 2025,24,60 KG,GrainPro Liner,AA,".2 d/300gr, 17-19 Screen",City to City+,Farm Gate,,"Brightly accented sweetness, with brisk flavors that bring out a very nice interplay between sweetness and acidity. Clean raw sugars, black tea, lemon, orange, baking spice, mouth refreshing. City to City+.","You get a pretty good sense of what to expect in the cup from the dry grounds. My City roast smelled bright with lively citrus notes, delicate accents, and clean raw sugars that make a moderate impact on the fragrance. Spice notes are closer to the front in the wet aroma, along with pronounced sugary sweetness. The steam is laced with perfumed hints of tea and fruits, with an orange note adding to the complex dimension. The brew at City roast shows brightly accented sweetness, with brisk flavors that bring out the very nice interplay between sweetness and acidity. Flavors of clean raw sugars come through in the light roast levels, and play off baking spice hints that comes up as the coffee cools. The mouthfeel is refreshing in a way, like brisk black tea with a spot of lemon juice. It has a refined quality, the finish clean and aromatic, with a fragrant note of orange spice tea. City+ roasts retain some of the citrus/juicy aspects, matched by a slightly more developed roast bittering core. Flavors like cranberry and lemon bring a dynamic side to the lower-toned shades of cocoa that hold on in the aftertaste. Very nice as pour-over brew and really lives up to the AA grade!","This coffee is from the Karuthi Factory, a washing station more or less, where coffee is processed from whole cherry to the green seeds. Karuthi is one of 19 washing stations that make up the Othaya Farmer's Coopertive Society, a coop-run organization. There are roughly 400 members of Karuthi, with coffee being grown as high as 2300 meters above sea level. The mill itself is located near the Chinga river in the Abedare mountains, not far from the Chinga mill (another mill we bought outstanding coffees from this year). Othaya started in the mid-1950s, ballooning from 250 original members to 15,000 strong today. Altitude of the washing station is just shy of 1900 meters, and you mostly see SL-28 and SL-34, along with a little Ruiru mixed in. We keep returning to the societies who regularly produce some of the best Kenya coffees to come across our cupping table, and each year the list of suppliers continues to grow.",,,,,,,
Nicaragua Buenos Aires Maracaturra,https://www.sweetmarias.com/nicaragua-buenos-aires-maracaturra-8451.html,$9.25,Nicaragua,"Dipilto, Nueva Segovia",Central America,87.7,1.5,8.5,8.7,8.7,8.6,8.5,8.5,8.7,8.5,8.5,9,0,0,3.5,3.5,1.5,1,0,3,0,0,2,3.5,Wet Process (Washed),Modern Hybrids,Maracaturra,Yes,Wet Process (Washed),Raised Bed Sun-Dried,August 2025 Arrival,20,69 KG,GrainPro Liner,SHB EP,".2 d/300gr, 18+ Screen; these beans are LARGE, and can be difficult to pass through burr grinders",City to Full City,Farm Gate,,"City+ splits the difference between subtle aromatics and fully fleshed out sweetness that comes with a bit more roast development. Notes of caramel, Assam tea, marzipan, and zested orange. City to Full City.","City+ splits the difference between the subtle aromatic qualities of Maracaturra coffee, and fully fleshed out sweetness that comes with a bit more roast development. The dry fragrance has a smell of toffee, caramel, and cinnamon roll. The wet aroma shows strength in sweetness, dark sugar notes are amplified, with a note of molasses ginger cookie, and light herbal hints. The cup profile has a light and airy quality, moderate level sweetness, and subtle complexity as it cools. Sweet base notes of brown sugar and caramel work to pull together top note hints of Assam tea, almond marzipan, and citrus zest. The acidity also recalls black tea, underscored by mouth tightening tannic aspects in the finish. Internal roast development can be difficult to achieve with Maracaturras because of the large screen size. For a light City roast, try roasting try pulling as soon as the rolling snaps come to a close. A few latent snaps are fine. Pull too early, and you might taste a little grassiness in the profile from internal underdevelopment. There's a fine line between too light and too dark, but I think this coffee is well worth the risk!","This Maracaturra cultivar selection comes from Cafetalera Finca Buenos Aires based out of the town of Ocotal. The Maracaturra cultivar is a large bean variety of coffee, a cross between Caturra and the so-called ""Elephant Bean"", Maragogype. It seems to be grown mostly in Nicaragua although I have found nice examples in El Salvador too. Buenos Aires starts 1200 meters above sea level, stretching as high as 1500 meters on the mountain slope. This coffee is wet processed, which means that the whole cherry is mechanically separated from the coffee seed, and then the sticky layer of mucilage is broken down and removed using overnight wet fermentation. This tends to produce higher acidity levels, and often a cleaner, more clear set of cup flavors all around. Maracturra can be tricky to roast due to the enormous bean size requiring a little extra time to develop the inside of the bean. If you have the ability to control heat on your roaster, we've had luck extending the beginning roast leg before 1st crack in order to produce a little more roast consistency from the inside out.",Olman Valladarez,Cafetalera Buenos Aires / Finca Los Alpes,Legend,ACE Legend of Excellence,14x CoE winner; 1st place 2023 & 2024; world's largest Maracaturra producer,10 farms; medical brigades; childcare shelter; anti-child-labor programs,
Nicaragua Honey Process Maracaturra,https://www.sweetmarias.com/nicaragua-honey-process-maracaturra-8452.html,$9.45,Nicaragua,"Dipilto, Nueva Segovia",Central America,87.4,1,8.5,8.7,8.7,8.6,8.9,8.4,8.7,8.3,8.6,9,0,3.5,3.5,2.5,1.5,1,0,3.5,1,0,1.5,4,Honey Process,Modern Hybrids,Maracaturra,Yes,Honey Process,Raised Bed Sun-Dried,August 2025 Arrival,20,69 KG,GrainPro Liner,SHG,.5 d/300gr 18+ screen,City+ to Full City+,Farm Gate,,"We found this honey lot shows very well in middle and darker roasts, where syrupy body gives way to bittersweet profiles, like black cocoa and dark chocolate wafers, accented by hints of fruit and spice. City+ to Full City+.","In the fragrance, we noted a scent of baked goods like brown sugar cookie and banana bread with walnut, while our darker Full City roast brought out very nice bittersweet intensity, dark cocoa laced with molasses. The wet aroma dials up the honey sweetness, and the crust has a smell of cinnamon-spiced honey sticks, along with cocoa crinkle cookie. We found this honey lot shows very well in middle, and even darker roasts, where syrupy body gives way to bittersweet profiles and hints of fruit and spice. The lighter roasts reveal accents of dried peach, and an interesting dark spice/fruit flavor when the coffee is hot that brought to mind Dr. Pepper soda (prune?). The cup cools to tea-tightening aspects, a bit like orange rind bittering too, though it's sweetness that leaves its mark in the finish. My Full City roast had excellent body, weighty and heavy on the palate, underscoring some of the deeper roast-toned flavors, black cocoa, and dark chocolate baking wafers. We don't typically recommend roasting Maracaturra's dark, but this coffee has more roast versatility than the washed lots in that regard. Honey coffees also produce a lot more chaff than a wet process, and presents darker in color due to the thin layer of fruit that is dried to the seed in the honey process. Something to be mindful of when roasting.","Honey processing is achieved using mechanical demucilage machine that remove the coffee cherry but leave some of the fruit intact on the seed. The coffee is dried with this fruit still intact, and typically evidenced in the cup via fruited flavor aspects, body, and often muted acidity in comparison to full washed coffee. I cup tested several Maracaturra lots on my visit to Buenos Aires last March, and would up buying full washed, dry process, and honey process offers as I found the cup profiles to be uniquely different. The Maracaturra cultivar is a large bean variety of coffee, a cross between Caturra and the so-called ""Elephant Bean"", Maragogype. It seems to be grown mostly in Nicaragua although we've found nice examples in El Salvador too. Buenos Aires is a rather low farm compared to other origins we buy, with this lot coming from about 1200 meters. Maracturra can be tricky to roast due to the enormous bean size. If you have the ability to control heat on your roaster, try a ""slow and low"" approach, dragging out the beginning roast leg before 1st crack in order to produce roast consistency from the inside out. For those without heat control (a popcorn popper for example), take the roast to at least City+ based on the beans exterior which will ensure internal roast development is achieved and save you from the green/grassy notes that come from underdevelopment!",,,,,,,
Peru Chirinos Las Pirias,https://www.sweetmarias.com/peru-chirinos-las-pirias-8499.html,$10.05,Peru,"Las Pirias, Chirinos District",South America,86.9,1.5,8.4,8.5,8.5,8.5,8.8,8.4,8.5,8.5,8.3,9,0,0,3,2,1,0,0,4,2.5,0,1.5,4,Wet Process (Washed),"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids","Caturra, Pache, Typica",Yes,Wet Process (Washed),Covered Sun-Dried,November 2025 Arrival,36,69 KG,GrainPro Liner,SHB,".6 d/300gr, 16-18 Screen",City+ to Full City+,Farm Gate,Yes,"A crowd pleasing, mid-toned brew in the City+/Full City roast range, with layered raw sugar sweetness, well-integrated acidic impression, and hints of baked goods, like snickerdoodle and molasses cookie. City+ to Full City+.","Las Pirias makes a crowd pleasing, mid-toned brew in the City+/Full City roast range. I enjoyed lighter roasts too, where acidity had a bit more impact, however sweetness felt a bit underdeveloped. Grinding a City+ roast released hints of brown sugar and molasses, with a dried fruit accent note. The wet aroma produced more of a dark bittersweet foil with hints of caramelized sugar and pistachio. The flavor profile is well balanced by an underlay of raw sugar notes, like turbinado, palm sugar, and panela. The acidity has a cherry aspect and well integrated into the cup profile. Top notes are slight in the middle roasts, but as it cooled, I sensed hints of cinnamon, and baked goods like snickerdoodle and molasses cookie, with cocoa-toned aftertaste.","This coffee comes from the Las Pirias village, within the District of Chirinos. This area is well known for coffee, the many cooperatives and associations making Chirinos a thriving market place for coffee farmers. While many buyers are still mainly producing large commercial volumes, there are some who are implementing a more quality-focused approach. This lot was purchased through one such intermediary we've bought coffee from for about the last decade. They've worked to establish farmer groups in the surrounding villages who are willing to put in the extra labor picking and processing coffee in order to push higher quality, receiving higher premiums in return. The farms in Las Pirias are typically less than 5 hectares, and most farms are planted in a mix of varieties, like Bourbon, Caturra, Pache, and Typica. The coffee is home processed, rather than managed at a central mill. Most farmers pick and pulp their coffee the same day, fermenting for 1-2 days to break down the sticky fruit mucilage, and then dried on raised beds for about 2 weeks.",,,,,,,
Peru Comite La Palma,https://www.sweetmarias.com/peru-comite-la-palma-8498.html,$10.35,Peru,"Comite La Palma, San Ignacio, Cajamarca",South America,87.5,1.5,8.5,8.6,8.4,8.7,9.2,8.5,8.5,8.5,8.6,8.5,0,0,3.5,3,2,0,0,4,1.5,0,2,4,Wet Process (Washed),"Caturra Types, Modern Hybrids","Caturra, Catuai",Yes,Wet Process (Washed),Patio Sun-dried,November 2025 Arrival,39,69 KG,GrainPro Liner,SHB,".6 d/300gr, 15-17 Screen",City to Full City+,Farm Gate,Yes,"Body is milky on the palate, with appealing raw sugar sweetness that carries over to finishing hints of baked apple, tannic tea, and creamy nut. Bean to bar chocolate at darker levels. City to Full City+. Good for espresso.","The ground coffee has a clean scent of light brown sugar and hazelnut, with a hint of barley malt syrup. The addition of hot water pulls out accents of dried fruit from the grounds, with sugar browning sweetness, caramel and toffee shell. La Palma showcased creamy body across both City and Full City roasts we tested, milky on the palate, and a bit juicy. The sweetness tasted lightly spiced with cinnamon, and showed unrefined brown sugar qualities that carried over into finishing hints of baked apple, and creamy raw nut notes, like Brazil nut and hazelnut. There's a mouth pleasing interplay of acidity at City+ roast level that brought to mind tannic black tea. Our Full City roast developed profiles of bittersweet bean to bar chocolate, creamy dark ganache, the cooled cup showing a muted raisin note too, like chocolate covered raisin.","Like the other three Peru's we've sold this year, this is another from within the San Ignacio District, Cajamarca, a region known for producing specialty grade coffee. Specifically, the coffee is from farms in the town of La Palma (""comite"" is basically a village, or town). Most of the farms are between 1700 and 1950 meters above sea level, planted in Caturra and Catuaí varieties. Farmers process their own coffee, as opposed to delivering to a central mill and processed together, which presents unique control of the quality, and an opportunity to taste the coffee from each farm separately. From one farm to the next, the wet process method is more or less standardized. Farmers typically let the cherries rest overnight before removing the fruit using small pulper machinery. They then ferment the mucilage-covered seeds for 24-36 hours in order to break down the fruit, making it easy to then wash away. Coffee dries in about two weeks and is usually managed on covered patios that protect the drying coffee from rain.",,,,,,,
Peru Diamante Roger Chilcon,https://www.sweetmarias.com/peru-diamante-roger-chilcon-8503.html,$10.15,Peru,"El Diamante, San Jose de Lourdes",South America,87.5,1,8.6,8.7,8.6,8.7,8.5,8.5,8.7,8.5,8.7,9,0,3,3.5,3,2.5,2.5,0,3,0,0,3,3.5,Wet Process (Washed),Caturra Types,Caturra,Yes,Wet Process (Washed),Patio Sun-Dried,November 2025 Arrival,20,69 KG,GrainPro Liner,SHB,".4 d/300gr, 15-18 Screen",City to Full City,Farm Gate,,"Complex sweetness of natural sugars and malt syrup, with contrasting hints of dried fruit, tangy citrus, and delicately spiced aroma that brings interest to the cup profile. City to Full City.","The dry grounds have smells of spiced sugars, hazelnut syrup, with a sweet pistachio pastry note. Hot water stirs up a thick caramel sweetness in the steam, with golden raisin and brown sugar notes coming through in the aroma. The sweetness shows nice complexity in the cup, with flavors of minimally-processed sugars, honey, and barley malt Fruit flavors also have some bearing on the profile, though slight. Hints of black currant and raisin offer accent tones to the base sweetness, along with an orange hint that brings out a pleasantly tart acidic impression in light roasts. The finish tastes spiked with hints of whole spices, like cinnamon sticks, along with aromatic spiced herbal tea. Full City roasts take on more dark toned flavors, like high % cacao bar, with dark fruit accents of dried date and fig emerging as it cools.","Roger Chilcon's 3 hectare farm is located in the village of El Diamante, tucked away in the highlands of San Jose de Lourdes. Though not the only farmer to do this, Chilcon bags up the coffee cherry from the day's harvest and seals them up for about 24 hours before processing. The idea is to start fermentation within the cherry in the hopes of translating to a more complex cup (often realized as an increase in fruited notes). He also employs a somewhat long fermentation times which can have a similar affect on flavor profile. Roger's farm sits at 1900 meters above sea level, the cold, high altitude zone ideal for slowing coffee cherry maturation, cultivating a denser coffee seed. The primary cultivars grown are yellow and red Caturra that are harvested together.",,,,,,,
Peru Huabal El Paraíso,https://www.sweetmarias.com/peru-huabal-el-paraiso-8504.html,$10.30,Peru,"El Paraíso, Huabal",South America,86.7,1,8.4,8.6,8.5,8.5,9,8.5,8.7,8.5,8,9,0,0,3,4,1.5,0,0,4.5,0,0,1,4,Wet Process (Washed),"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids","Bourbon, Caturra, Typica",Yes,Wet Process (Washed),Patio Sun-Dried,November 2025 Arrival,15,69 KG,GrainPro Liner,SHB,".6 d/300gr, 15-17 Screen",City+ to Full City+,Farm Gate,Yes,"Crowd-pleasing in the middle roasts, a backdrop of bittersweetness contrasts sweet caramel notes, creamy body, and apple-like acidic impression. City+ to Full City+. Good for espresso.","We had very nice results in the City+ - Full City roast range, where a backdrop of bittersweet notes contrasts sweet caramel notes, and a pleasantly brisk acidic impression. This bittersweetness and body bode well for dark roasts too, though we haven't taken it beyond Full City ourselves. The fragrance has a scent of dark cocoa and brown sugar, while the wet aroma draws out hints of chocolate-caramel and spice. The cup has well balanced flavors, a sweetness that shows nice clarity, caramel, barley malt, with low toned chocolate flavors that are more intense in the darker levels. City+ roasts had a flavor profile of caramel apple, creamy sweet, with a touch of bright fruit. The hint of bittersweet cocoa gains momentum as the coffee cools, and leaves an impression of dark drinking cocoa in the aftertaste. Full City had many of the same elements, but inverse intensity. A sharper bittersweet tone is sensed up front, dark cacao bar, acidity a bit dulled, and a caramelized sugar dimension in the finish.","Made up from coffees of several different farmers in El Paraíso, Huabal District, this 15 bag regional blend represents the coffees of a few of the small holders in this region. Altitude averages around 1750 meters and cultivars grown are typically Caturra, with some Typica and Bourbon mixed in. This is a fully washed coffee, wet processed by the farmers, who then deliver their coffee in dry parchment (the green bean with the thin parchment layer still intact) to a warehouse in Cajamarca where it is graded and purchased. The group who set up this buying operation are working to register all the farmers they buy from in order to help isolate different quality tiers, but also be able to issue the initial payments and any quality premiums themselves, something that was lacking when they were buying through more traditional avenues. It doesn't help that the roads leading to Huabal and within the district are much more rustic than some of their neighbors, limiting access to farmers in this region.",,,,,,,
Peru Huabal San Pablo,https://www.sweetmarias.com/peru-huabal-san-pablo-8501.html,$10.15,Peru,"San Pablo, Huabal, Cajamarca",South America,88.3,1,8.7,8.8,8.7,8.8,8.5,8.7,8.8,8.5,8.8,9,0,3,4,2,2.5,2,0,3.5,0,0,0,3.5,Wet Process (Washed),"Caturra Types, Bourbon Types, Modern Hybrids","Bourbon, Caturra, Castillo, Typica",Yes,Wet Process (Washed),Patio Sun-Dried,November 2025 Arrival,32,69 KG,GrainPro Liner,SHB,".2 d/300gr, 15-17 Screen",City to Full City+,Farm Gate,Yes,"Very versatile. Light roasts have layers of honey, brown sugar, torrone, with hints of apple, and citrus. Darker roasts pull out chocolate tones accented by spice, with satiny body. City to Full City+. Good for espresso.","Balanced sweetness comes through in the fragrance of City/City+ roasts, notes of raw sugars, buttery toffee, along with some very nice dried fruit notes, like cherry and date. The wet aroma has nice intensity to the sweetness, like raw brown sugar, caramel, and notes of red raisin, and baked apples with cinnamon. The cup flavors came off well-balanced, and clean in both City and Full City roasts we tested, with a surprising fruited side. The lighter of the two had a floral hint that complimented a sweet note of honey, with layered profiles of brown sugar, torrone candy, and butter pecan ice cream. Accents of red apple, and citrus bring juicy brightness to the brew too. At Full City, dark chocolate notes play off satiny body, and a complex finish accented by hints of clove oil, and saffron.","This lot is a mix of coffees from several small-holder farmers in the town of San Pablo within the greater District of Huabal. The town sits at around 1980 meters above sea level. Most farms are less than 2 hectares of land, and the typical cultivars you see growing here are Bourbon, Caturra, Castillo, and Typica. This is a fully washed coffee, pulped and fermented in tanks for 24 to 36 hours, then dried for around 20 days. After the coffee is dried to roughly 11% moisture level, it is delivered to a warehouse in Cajamarca where it is cleaned and graded for export. The group who set up this buying operation are working to register all the farmers they buy from in order to help isolate different quality tiers, but also be able to issue the initial payments and any quality premiums themselves, something that was lacking when they were buying through more traditional avenues. It doesn't help that the roads leading to Huabal are much more rustic than some of their neighbors, limiting access to farmers in this region.",,,,,,,
Peru Organic Dry Process Guardian del Bosque Gesha,https://www.sweetmarias.com/peru-organic-dry-process-guardian-del-bosque-gesha-8575.html,$13.75,Peru,"Gracias a Dios, Lonya Grande, Amazonas",South America,90.5,1.5,9,9.2,9,9.2,8.7,8.7,9,8.2,9.5,8.5,2.5,0,3,0,4.5,0,4,2,0,1.5,0,3.5,Dry Process (Natural),Gesha,Gesha,No,Fermented Dry Process - 120 hour cherry fermentation before drying,"Raised Bed, Covered",January 2026 Arrival,25,69 KG,GrainPro Liner,SHB,".4 d/300gr, 15-17 Screen",City to City+,Organic/Fair Trade Cert.,,"Unique amalgam of both heavy-handed fruits and soft aromatic florality of Gesha as it cools. Resiny sweetness, dried strawberry, fruit syrup, freesia blossom, creamy tropical mangosteen, and Fruit Loops cereal. City to City+.","I'm always a little skeptical of dry process Gesha's. You run the risk of powerful process flavors winning out in the cup, and erasing the delicate aroma that Gesha coffee is known for. That's not the case with this lot. When roasted light, the cup offers a very curious amalgam of both fruity process flavors and the aromatic florality of Gesha coffee. The fragrance is freighted with fruit and sappy sweet notes, stewed stone fruits with rustic raw sugars, tamarind concentrate, with very soft hop-like floral allusions that have a slight citrusy element too. Acetic accents mark the fruit notes in the wet aroma, bringing some fermented complexity to the smells. It's also where I start to sense the florality, a little like ripe strawberry at first, but more like cherry blossoms once I ran my spoon through the crust. The floral character comes through in the cup, drawing on fresh hops with their bittering complexity and fresh aromatics, as well as freesia with their perfumed berry-like aroma. Resiny sweetness is a constant, and highlights some of the fruited notes, pulpy, fruit syrup, dried strawberry, and creamy mangosteen. The finish isn't perfect, but it has this cereal grain aspect that, along with the heavier fruit tones, brought to mind Fruit Loops cereal. If you're familiar with the Gesha variety and a fan of fruity dry process coffees, this is a fun coffee to taste and consider the interplay of those unique flavors that can be both heavy-handed and delicate at the same time. It also presents a unique opportunity to taste it side-by-side with the wet process version from the same farm.","""Guardian del Bosque"" is the name of the farm owned by Ronal Carranza Montenegro. His 11.5 hectare farm sits at 1600 meters above sea level, and is planted in several different coffee varieties, including Gesha. This underwent a unique anaerobic dry process method that involves fermenting the whole cherry for 120 hours before drying on raised beds. This extended time in contact with the fruit after picking certainly plays a large role in the wild fruit flavors tasted in the cup. Unlike the washed lot from Guardian del Bosque, the flavors are heavy-handed, and packed with fruity flavors. But the bonus is that it still has delicate floral character too, which is not always the case for dry process Gesha. Ronal is a longtime member of a local coffee cooperative, Asociación de Productores Cafetaleros Juan Marco El Palto (""JUMARP""), whose work involves provide technical assistance at the farm level, like post harvest processing best practices, and improvements to processing environment and drying space. The coop have also helped this group achieve organic and fair trade certifications, which insures a premium price is paid for their coffee. Ronal plays around with different process methods, and this year we bought wet process, honey process, and dry process versions of his Gesha coffee. Each process brings its own unique flavors, with this dry process lot bringing out plump fruits and a fragrant floral aroma.",,,,,,,
